2020-08-11 12:38:26,446 - Recorded info
2020-08-11 12:40:03,320 - Recorded info
2020-08-11 13:09:08,584 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1213 , 62 
2020-08-11 13:09:08,590 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:09:08,591 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1213 , 62 
2020-08-11 13:09:34,087 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1253 , 22 
2020-08-11 13:09:34,088 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:09:34,089 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1253 , 22 
2020-08-11 13:09:34,090 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:09:59,330 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1187 , 88 
2020-08-11 13:09:59,332 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:09:59,334 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1187 , 88 
2020-08-11 13:09:59,335 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:10:24,957 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1213 , 62 
2020-08-11 13:10:24,959 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:10:24,961 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1213 , 62 
2020-08-11 13:10:24,962 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:10:50,715 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1227 , 48 
2020-08-11 13:10:50,716 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:10:50,716 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1227 , 48 
2020-08-11 13:10:50,717 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:11:16,216 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1221 , 54 
2020-08-11 13:11:16,217 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:11:16,218 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1221 , 54 
2020-08-11 13:11:16,219 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:11:41,754 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1209 , 66 
2020-08-11 13:11:41,755 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
